MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
X4638394	32 NORTON DR, Guelph, Ontario 	Grange Hill East	43.5752809	-80.214245	739900 	1500-2000 sqft	$4,958 /yr	6-15 years	40 (Nov 20, 2019)	Single Family	4 + 1	4	https://www.realtor.ca/real-estate/21350379/4-1-bedroom-single-family-house-32-norton-dr-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/32-norton-drive	2019-12-30
30778900	32 NORTON Drive, Guelph, Ontario 	-	43.575269	-80.214266	739900 	-	-	-	-	Single Family	4 + 1	4	https://www.realtor.ca/real-estate/21349782/4-1-bedroom-single-family-house-32-norton-drive-guelph	-	2019-12-30
X4637929	#10B -85 MULLIN DR, Guelph, Ontario 	Brant	43.5833223	-80.2620467	398000 	1200-1399 sqft	$100 /yr	0-5 years	40 (Nov 19, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21348815/2-bedroom-condo-10b-85-mullin-dr-guelph-brant	https://www.zolo.ca/guelph-real-estate/85-mullin-drive/10b	2019-12-30
X4637848	6 STIRLING PL, Guelph, Ontario 	June Avenue	43.5572409	-80.2801509	579900 	1100-1500 sqft	$3,861 /yr	31-50 years	40 (Nov 19, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/21348810/3-bedroom-single-family-house-6-stirling-pl-guelph-june-avenue	https://www.zolo.ca/guelph-real-estate/6-stirling-place	2019-12-30
30778301	6 Stirling Place, Guelph, Ontario 	-	43.557205	-80.280124	579900 	-	-	-	-	Single Family	3	2	https://www.realtor.ca/real-estate/21347852/3-bedroom-single-family-house-6-stirling-place-guelph	-	2019-12-30
X4637585	#5 -101 FREDERICK DR, Guelph, Ontario 	Pine Ridge	43.5153703	-80.1744409	459900 	1600-1799 sqft	$3,496 /yr	6-10 years	40 (Nov 19, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21347329/3-bedroom-condo-5-101-frederick-dr-guelph-pine-ridge	https://www.zolo.ca/guelph-real-estate/101-frederick-drive/5	2019-12-30
30778485	210 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	484066 	1157 sqft	No Data	2019	19 (Dec 11, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21346323/2-bedroom-condo-210-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/210	2019-12-30
H4068072	1-31 88 DeCorso Drive, Guelph, Ontario 	-	43.525046	-80.192714	469900 	-	-	-	-	Single Family	2	2	https://www.realtor.ca/real-estate/21344495/2-bedroom-single-family-row-townhouse-1-31-88-decorso-drive-guelph	-	2019-12-30
30774426	5 GREENVIEW Street, Guelph, Ontario 	11 - Grange Road	43.566717	-80.243487	625000 	No Data	No Data	1953	42 (Nov 18, 2019)	Single Family	5	2	https://www.realtor.ca/real-estate/21343156/5-bedroom-single-family-house-5-greenview-street-guelph	https://www.zolo.ca/guelph-real-estate/5-greenview-street	2019-12-30
X4635202	21 KIRVAN DR, Guelph, Ontario 	Kortright Hills	43.5291618	-80.202524	1425000 	3500-5000 sqft	No Data	New	45 (Nov 15, 2019)	Single Family	4 + 1	5	https://www.realtor.ca/real-estate/21339161/4-1-bedroom-single-family-house-21-kirvan-dr-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/21-kirvan-drive	2019-12-30
30777987	21 Kirvan Drive, Guelph, Ontario 	-	43.528757	-80.202374	1425000 	-	-	-	-	Single Family	4 + 1	5	https://www.realtor.ca/real-estate/21338417/4-1-bedroom-single-family-house-21-kirvan-drive-guelph	-	2019-12-30
30777770	177 Morris Street, Guelph, Ontario 	-	43.547308	-80.231879	684900 	-	-	-	-	Condo	3	3	https://www.realtor.ca/real-estate/21331788/3-bedroom-condo-177-morris-street-guelph	-	2019-12-30
X4632731	52 MILSON CRES, Guelph, Ontario 	Kortright Hills	43.5005297	-80.229022	759000 	No Data	$5,400 /yr	16-30 years	47 (Nov 12, 2019)	Single Family	4	3	https://www.realtor.ca/real-estate/21330894/4-bedroom-single-family-house-52-milson-cres-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/52-milson-crescent	2019-12-30
X4632521	542 WHITELAW RD, Guelph, Ontario 	Parkwood Gardens	43.5131984	-80.2792365	489900 	700-1100 sqft	$3,393 /yr	31-50 years	47 (Nov 12, 2019)	Single Family	2	2	https://www.realtor.ca/real-estate/21330874/2-bedroom-single-family-house-542-whitelaw-rd-guelph-parkwood-gardens	https://www.zolo.ca/guelph-real-estate/542-whitelaw-road	2019-12-30
30776721	804 -  23 Woodlawn Road E, Guelph, Ontario 	9 - Riverside Park	43.564673	-80.273212	389900 	1498 sqft	No Data	1978	48 (Nov 11, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21326196/3-bedroom-condo-804-23-woodlawn-road-e-guelph	https://www.zolo.ca/guelph-real-estate/23-woodlawn-road-east/804	2019-12-30
